.,.heading,,.,,Process,Total,Total,eco-costs of,eco-costs of,eco-costs of,eco-costs of,Carbon ,Carbon ,CED,ReCiPe2016,ReCiPe2016,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,ReCiPe,EF 3.1,EF 3.1,carbon,pollutants,water,biodiversity,resources,ClassyFire,"chemicals,plastics, and wood",Note:,,,,,,,
.full,.heading,LCI,.,,,eco-costs,eco-costs,human health,protecting,resource,carbon ,Dioxide,Dioxide,(Total),endpoint (Pt),endpoint H/A,human health,ecotoxicity,resources,human health,ecotoxicity,resources,Total,Total,ecocosts,ecocosts,ecocosts,ecocosts,ecocosts,subclass,,Idemat data based on Ecoinvent can be found at the blackboard of the Delft University of Technology,,,,,,,
.nr,.heading,.    number,.,unit,,euro,bars,euro,nature     euro ,scarcity   euro,footprint  euro,kgCO2e,bars,MJ,World(2010) H/A,bars,Pt,Pt,Pt,DALY,species.year,USD2013,Pt,bars,ESRS E1,ESRS E2,ESRS E3,ESRS E4,ESRS E5,name,alternative names,,,,,,,,
,,,MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Materials, ceramics ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.020.01.101.230701 Alumina,ceramics,A.020.01.101,"Materials, ceramics ",kg ,Alumina,0.29,0.29,0.00,0.01,0.00,0.29,1.91,1.91,0.0,0.033335378,0.03,0.031846817,0.001488561,0,1.90928E-06,5.50503E-09,0,5.53444E-05,0.00,0.2865,0.007495486,0.007431251,0.007431251,0,,Alumina: Aluminium oxide AL2O3 Corundum CASnr 1344-28-1 or 1333-84-2,,,,,,,,
A.020.01.103.230701 Boron Carbide,ceramics,A.020.01.103,"Materials, ceramics ",kg ,Boron Carbide,1.60,1.60,0.13,0.25,0.14,1.09,7.24,7.24,49.8,0.18355028,0.18,0.17548273,0.007107748,0.000959793,1.05205E-05,2.62861E-08,0.13442475,0.001089042,0.00,1.0861044,0.380127908,0.254349804,0.254349804,0.135666303,,"Boron Carbide: B?C Tetraboron carbide CAS nr 12069-32-8 or 12011-54-0	or 60063-34-5",,,,,,,,
A.020.01.104.230701 Germanium,ceramics,A.020.01.104,"Materials, ceramics ",kg ,Germanium,"1,168.37","1,168.37",11.52,33.37,997.07,126.40,842.70,842.70,11118.5,22.883895,22.88,20.785903,0.78820253,1.3097893,0.001246157,2.91495E-06,183.44388,0.047658557,0.05,126.4045,44.88810645,33.3633028,33.36562159,997.0748385,,Germanium: Ge Element 32 CASS nr7440-56-4,,,,,,,,
A.020.01.105.230701 Glaze (in addition to Porcelain and Stoneware),ceramics,A.020.01.105,"Materials, ceramics ",kg ,Glaze (in addition to Porcelain and Stoneware),1.90,1.90,1.89,0.01,0.00,0.01,0.04,0.04,1.4,0.003122597,0.00,0.001216049,0.001818368,8.82E-05,7.29046E-08,6.72474E-09,0.012350092,0.00036548,0.00,0.005666908,1.892131127,0.00577298,0.005773756,0.000531032,,Glaze: Ceramic coating Glassy finish (no CAS number Ð depends on formulation),,,,,,,,
A.020.01.106.230701 Porcelain,ceramics,A.020.01.106,"Materials, ceramics ",kg ,Porcelain,0.09,0.09,0.01,0.01,0.00,0.06,0.42,0.42,7.3,0.01000869,0.01,0.009101169,0.000398207,0.000509313,5.45634E-07,1.47266E-09,0.071332366,2.61E-05,0.00,0.062970542,0.023064549,0.014121017,0.014354647,0.002875676,,Porcelain: Vitreous china Fine china (no CAS number Ð mixture of materials),,,,,,,,
A.020.01.107.230701 PZT Piezo-electric ceramic,ceramics,A.020.01.107,"Materials, ceramics ",kg ,PZT Piezo-electric ceramic,71.48,71.48,5.98,23.19,8.90,33.42,222.78,222.78,3423.8,9.0422886,9.04,8.5339437,0.27338082,0.23496416,0.000511627,1.01102E-06,32.908146,0.016509381,0.02,33.41655,29.17122654,26.1433091,23.1892091,5.9426257,,PZT Piezo-electric ceramic: Lead zirconate titanate Pb[ZrxTi1-x]O3 CAS nr 12626-81-2,,,,,,,,
A.020.01.108.230701 Silicon (purified) for electronics and PV cells,ceramics,A.020.01.108,"Materials, ceramics ",kg ,Silicon (purified) for electronics and PV cells,3.94,3.94,0.08,0.14,1.47,2.24,14.95,14.95,229.1,0.27782843,0.28,0.25797698,0.011883802,0.007967652,1.54662E-05,4.3949E-08,1.1159176,0.000711766,0.00,2.2430032,0.224886656,0.142512003,0.143203049,1.47071051,,Silicon (purified): Hyperpure silicon Polycrystalline silicon CAS nr 7440-21-3,,,,,,,,
A.020.01.109.230701 Silicon carbide,ceramics,A.020.01.109,"Materials, ceramics ",kg ,Silicon carbide,4.02,4.02,0.33,1.09,0.01,2.59,17.27,17.27,205.8,0.56667471,0.57,0.53388775,0.018171045,0.01461592,3.20077E-05,6.72006E-08,2.0470476,0.001080566,0.00,2.5904155,1.418378336,1.090532075,1.090563892,0.006861384,,Silicon Carbide: SiC Carborundum CAS nr 409-21-2,,,,,,,,
A.020.01.110.230701 Silicon Nitride,ceramics,A.020.01.110,"Materials, ceramics ",kg ,Silicon Nitride,1.27,1.27,0.02,0.03,0.72,0.51,3.41,3.41,37.0,0.061835763,0.06,0.056271872,0.002663985,0.002899905,3.37361E-06,9.85202E-09,0.40614918,0.000147542,0.00,0.51160742,0.042533487,0.025002724,0.025417351,0.71890785,,Silicon Nitride: Si3N3 CAS nr 12033-89-5 or 12033-60-2,,,,,,,,
